LAST SEEN   TYPE      REASON                    OBJECT                                   MESSAGE
97s         Warning   BackOff                   pod/millo-nginx-rtmp-6f7bf6cc47-56n5l    Back-off restarting failed container nginx-rtmp in pod millo-nginx-rtmp-6f7bf6cc47-56n5l_millo(e34e016e-a378-40f8-b0ad-88cdddfba280)
73s         Warning   BackOff                   pod/millo-api-7fbbfb8896-vln79           Back-off restarting failed container api in pod millo-api-7fbbfb8896-vln79_millo(27c23b3d-04cc-466a-99e3-b81c0fad5d56)
58s         Warning   BackOff                   pod/millo-api-7fbbfb8896-5bgsj           Back-off restarting failed container api in pod millo-api-7fbbfb8896-5bgsj_millo(47fa6d98-7b66-4f88-bd4b-c413c4c8fd68)
57s         Warning   BackOff                   pod/millo-api-7fbbfb8896-5zctp           Back-off restarting failed container api in pod millo-api-7fbbfb8896-5zctp_millo(1d6ce4f6-f1ef-42e4-9c6c-ecd3fe35976f)
54s         Warning   BackOff                   pod/millo-api-6c8f6c4f7d-wkv4m           Back-off restarting failed container api in pod millo-api-6c8f6c4f7d-wkv4m_millo(219d8a1b-84ff-41db-83fa-de2bc25e6093)
48s         Warning   BackOff                   pod/janus-75d997d488-c26zl               Back-off restarting failed container janus in pod janus-75d997d488-c26zl_millo(a6945858-2186-47f9-bb36-cac0ca30316e)
38s         Warning   BackOff                   pod/millo-api-6c8f6c4f7d-kvzkb           Back-off restarting failed container api in pod millo-api-6c8f6c4f7d-kvzkb_millo(552a5394-e105-4456-943b-0ba358d00d1c)
37s         Normal    Pulled                    pod/millo-workers-79f5ccb6cc-pvggx       Container image "docker.io/millo/workers:latest" already present on machine and can be accessed by the pod
37s         Normal    Created                   pod/millo-workers-79f5ccb6cc-pvggx       Container created
37s         Normal    Started                   pod/millo-workers-79f5ccb6cc-pvggx       Container started
35s         Warning   BackOff                   pod/millo-workers-79f5ccb6cc-pvggx       Back-off restarting failed container workers in pod millo-workers-79f5ccb6cc-pvggx_millo(6d173899-05c9-46fe-9389-4550fcdd5c3d)
23s         Normal    SuccessfulCreate          replicaset/millo-workers-6cddfdbd65      Created pod: millo-workers-6cddfdbd65-zsjsk
23s         Normal    SuccessfulCreate          replicaset/millo-api-5555fc98f9          Created pod: millo-api-5555fc98f9-s29zt
23s         Normal    SuccessfulDelete          replicaset/millo-api-6c8f6c4f7d          Deleted pod: millo-api-6c8f6c4f7d-wkv4m
23s         Normal    ScalingReplicaSet         deployment/millo-api                     Scaled up replica set millo-api-5555fc98f9 from 0 to 1
23s         Normal    ScalingReplicaSet         deployment/millo-api                     Scaled down replica set millo-api-6c8f6c4f7d from 2 to 1
23s         Normal    ScalingReplicaSet         deployment/millo-workers                 Scaled up replica set millo-workers-6cddfdbd65 from 0 to 1
22s         Normal    SuccessfulCreate          replicaset/janus-7f87d48658              Created pod: janus-7f87d48658-9gmj6
22s         Normal    ScalingReplicaSet         deployment/janus                         Scaled up replica set janus-7f87d48658 from 0 to 1
22s         Normal    ScalingReplicaSet         deployment/millo-nginx-rtmp              Scaled down replica set millo-nginx-rtmp-6f7bf6cc47 from 1 to 0
22s         Normal    ScalingReplicaSet         deployment/millo-nginx-rtmp              Scaled up replica set millo-nginx-rtmp-c5984747c from 0 to 1
22s         Normal    SuccessfulCreate          replicaset/millo-nginx-rtmp-c5984747c    Created pod: millo-nginx-rtmp-c5984747c-zpqrr
22s         Normal    SuccessfulDelete          replicaset/millo-nginx-rtmp-6f7bf6cc47   Deleted pod: millo-nginx-rtmp-6f7bf6cc47-56n5l
20s         Normal    SuccessfulDelete          replicaset/millo-workers-79f5ccb6cc      Deleted pod: millo-workers-79f5ccb6cc-pvggx
20s         Normal    ScalingReplicaSet         deployment/millo-workers                 Scaled down replica set millo-workers-79f5ccb6cc from 1 to 0
8s          Normal    Pulled                    pod/millo-api-66bdb6c667-h289m           Container image "docker.io/library/millo-api-gateway:latest" already present on machine and can be accessed by the pod
8s          Normal    Started                   pod/millo-api-66bdb6c667-h289m           Container started
8s          Normal    Created                   pod/millo-api-66bdb6c667-h289m           Container created
7s          Normal    Started                   pod/millo-workers-6cddfdbd65-zsjsk       Container started
7s          Normal    Pulled                    pod/millo-workers-6cddfdbd65-zsjsk       Container image "docker.io/millo/workers:latest" already present on machine and can be accessed by the pod
7s          Normal    Created                   pod/millo-workers-6cddfdbd65-zsjsk       Container created
6s          Warning   BackOff                   pod/millo-workers-6cddfdbd65-zsjsk       Back-off restarting failed container workers in pod millo-workers-6cddfdbd65-zsjsk_millo(3153f21c-a0c1-45aa-9bfa-4833e4a550f4)
6s          Warning   BackOff                   pod/millo-api-66bdb6c667-h289m           Back-off restarting failed container api in pod millo-api-66bdb6c667-h289m_millo(73b1438c-6d1a-4848-9fa9-b4c1e58af9bc)
6s          Normal    SuccessfulDelete          replicaset/janus-75d997d488              Deleted pod: janus-75d997d488-c26zl
6s          Normal    Pulled                    pod/janus-7f87d48658-9gmj6               Container image "docker.io/library/millo-janus:latest" already present on machine and can be accessed by the pod
6s          Normal    ScalingReplicaSet         deployment/janus                         Scaled down replica set janus-75d997d488 from 1 to 0
6s          Normal    Created                   pod/janus-7f87d48658-9gmj6               Container created
6s          Normal    Started                   pod/janus-7f87d48658-9gmj6               Container started
6s          Normal    UpdatedLoadBalancer       service/janus                            Updated LoadBalancer with new IPs: [144.126.139.87] -> [144.126.139.87]
6s          Normal    UpdatedLoadBalancer       service/janus                            Updated LoadBalancer with new IPs: [] -> [144.126.139.87]
5s          Warning   BackOff                   pod/janus-7f87d48658-9gmj6               Back-off restarting failed container janus in pod janus-7f87d48658-9gmj6_millo(0ec89a46-9356-4a42-a3ae-7bd695c6c994)
5s          Warning   UnAvailableLoadBalancer   service/janus                            There are no available nodes for LoadBalancer
4s          Normal    Started                   pod/millo-nginx-rtmp-c5984747c-zpqrr     Container started
4s          Warning   BackOff                   pod/millo-nginx-rtmp-c5984747c-zpqrr     Back-off restarting failed container nginx-rtmp in pod millo-nginx-rtmp-c5984747c-zpqrr_millo(60871c30-4c59-4fa5-ab58-02ffb252afd8)
4s          Normal    Pulled                    pod/millo-nginx-rtmp-c5984747c-zpqrr     Container image "millo/nginx-rtmp:latest" already present on machine and can be accessed by the pod
4s          Normal    Created                   pod/millo-nginx-rtmp-c5984747c-zpqrr     Container created
3s          Warning   BackOff                   pod/millo-nginx-rtmp-58f947ffb8-m6wm9    Back-off restarting failed container nginx-rtmp in pod millo-nginx-rtmp-58f947ffb8-m6wm9_millo(ad58d155-a13b-4d11-83e9-b3740c8b2297)
